rxnid	mass balance	charge balance	composite
MDH	0.0	0.0	False
MDHp	0.0	0.0	False
ACONIs	0.0	0.0	False
ACONCL	0.0	0.0	False
ACONMT	-0.0	0.0	False
NADH2_u6t	-0.0	0.0	False
NADH2_u6m	0.0	0.0	False
NADH2_u6ym	0.0	0.0	False
NADH2_u6cm	0.0	0.0	False
NADH2_u6ycm	0.0	0.0	False
ETFDH	0.0	0.0	False
CYOR_u6m	0.0	0.0	False
CYOO6m	-0.0	0.0	False
AOXIDASE	0.0	0.0	False
COXAOX	0.0	0.0	False
ATPS4m	0.0	0.0	False
Htm	0.0	0.0	False
ROSFADc	-0.0	0.0	False
ROSFADm	-0.0	0.0	False
ROSQc	-0.0	0.0	False
ROSQm	-0.0	0.0	False
SPODM	0.0	0.0	False
SPODMm	0.0	0.0	False
CATp	0.0	0.0	False
CAT	0.0	0.0	False
CATm	0.0	0.0	False
TRXORmc	N/A	0.0	False
TRXORm	N/A	0.0	False
GTHPi	0.0	0.0	False
GTHPm	0.0	0.0	False
CCP2m	-0.0	0.0	False
FCYTOB5OXR_m	N/A	0.0	False
FCYTOB5OXR_c	N/A	0.0	False
NOX	0.0	0.0	False
NOXm	0.0	0.0	False
PPA	-0.0	0.0	False
PPAm	-0.0	0.0	False
PPAer	-0.0	0.0	False
THD1m	0.0	0.0	False
THD2m	0.0	0.0	False
NADK	0.0	0.0	False
NADHK	0.0	0.0	False
NADPPPS	-0.0	0.0	False
NADKm	0.0	0.0	False
NADHKm	0.0	0.0	False
FRDO2rm	N/A	N/A	False
OPAH	-0.0	0.0	False
GLUCYS	-0.0	0.0	False
GTHS	-0.0	0.0	False
GTHRDH_syn	0.0	0.0	False
AMPTASECG	0.0	0.0	False
GTMLT	-0.0	0.0	False
GTHOr	0.0	0.0	False
GTHOm	0.0	0.0	False
TRDR	N/A	0.0	False
TRDRm	N/A	0.0	False
PPKr	N/A	0.0	False
PPPasev	N/A	0.0	False
PPPasen	N/A	0.0	False
PPPasec	N/A	0.0	False
PPPasem	N/A	0.0	False
G6PI	0.0	0.0	False
G6PBDH	-0.0	0.0	False
PGL	0.0	0.0	False
GNK	0.0	0.0	False
GND	0.0	0.0	False
RPI	0.0	0.0	False
PPM	0.0	0.0	False
PPM2	0.0	0.0	False
RPE	0.0	0.0	False
TKT2	0.0	0.0	False
TKT1	0.0	0.0	False
GCALDC	0.0	0.0	False
TKT2x	0.0	0.0	False
TKT1x	0.0	0.0	False
GCALDCx	0.0	0.0	False
TKT2r	-0.0	0.0	False
TKT1r	-0.0	0.0	False
TALA	0.0	0.0	False
TALAx	0.0	0.0	False
PFK_3	-0.0	0.0	False
FBA3	0.0	0.0	False
SBP	0.0	0.0	False
E4PP	0.0	0.0	False
ERYTSK	-0.0	0.0	False
ERYTDHx	-0.0	0.0	False
ERYTDHy	0.0	0.0	False
ERYT4PDHx	-0.0	0.0	False
ERYT4PDHy	0.0	0.0	False
ERYTK	0.0	0.0	False
ERYTHLDHx	0.0	0.0	False
ERYTULK	-0.0	0.0	False
ERYTH4PALD	0.0	0.0	False
THRETLDH	0.0	0.0	False
THREITOLDDH	0.0	0.0	False
THREITOLLDH	0.0	0.0	False
XYLR	0.0	0.0	False
XYLRx	0.0	0.0	False
XYLRxy	-0.0	-4.4408920985e-16	False
XYLTD_D	0.0	0.0	False
XYLI1	0.0	0.0	False
XYLK	0.0	0.0	False
ARABR	0.0	0.0	False
ARABRx	0.0	0.0	False
ARABRxy	0.0	0.0	False
ABTD	0.0	0.0	False
r0784	0.0	0.0	False
ARABDRy	0.0	0.0	False
ARABDRx	0.0	0.0	False
ARABDRxy	0.0	0.0	False
ABTDG	0.0	0.0	False
ABTDGy	0.0	0.0	False
ABTDHx	0.0	0.0	False
RBK	0.0	0.0	False
RIBRy	0.0	0.0	False
r0796	0.0	0.0	False
RIBRxy	0.0	4.4408920985e-16	False
RBTDG	0.0	0.0	False
RBTK	-0.0	0.0	False
RBT5PDHx	0.0	0.0	False
RBT5P	0.0	0.0	False
RBK_Dr	0.0	0.0	False
RU5PP	0.0	0.0	False
PRPPS	-0.0	0.0	False
EPGALURSe	N/A	0.0	False
GALURRy	0.0	0.0	False
GALCTDE	0.0	0.0	False
T3DOHEXAL	0.0	0.0	False
ALCD19_L	0.0	0.0	False
ALCD19_Lx	0.0	0.0	False
ALCD19_Lxy	0.0	4.4408920985e-16	False
INOSTO	0.0	0.0	False
GULND	0.0	0.0	False
GULN3D	0.0	0.0	False
DGULND	0.0	0.0	False
XYLDM	0.0	0.0	False
XYLOR	-0.0	0.0	False
ARABLM	0.0	0.0	False
ARADHy	-0.0	0.0	False
RIBDHy	-0.0	0.0	False
GALDHy	-0.0	0.0	False
GAL14LH	0.0	0.0	False
GLCDHy	-0.0	0.0	False
GLULACT	0.0	0.0	False
LXYLDHy	-0.0	0.0	False
ARAB1D2	-0.0	0.0	False
FUCDHy	0.0	0.0	False
FUCDHx	0.0	0.0	False
LGALDHy	-0.0	0.0	False
LGALDHx	0.0	0.0	False
ARAB1D1	0.0	0.0	False
ARAB14LO	0.0	0.0	False
ICL	0.0	0.0	False
ICL_x	0.0	0.0	False
GLYCLTDy	0.0	0.0	False
GLYOp	0.0	0.0	False
GLOXLR	0.0	0.0	False
EG01	0.0	0.0	False
GCALDD	0.0	0.0	False
ALCD21_D	0.0	0.0	False
PGLYCP	0.0	0.0	False
MALS	0.0	0.0	False
3EMALSc	0.0	0.0	False
MALSp	0.0	0.0	False
3EMALSx	0.0	0.0	False
GLUDC	0.0	0.0	False
ABTA	0.0	0.0	False
ABTArm	0.0	0.0	False
SSALy	0.0	0.0	False
r0179	0.0	0.0	False
ABUTDm	0.0	0.0	False
ACS2	-0.0	0.0	False
ACCOALm	-0.0	0.0	False
MCITSm	0.0	0.0	False
MCITDm	-0.0	0.0	False
MICITDrm	0.0	0.0	False
MCITD	-0.0	0.0	False
MICITDr	0.0	0.0	False
MCITL2	0.0	0.0	False
MCITL2m	0.0	0.0	False
PPCOAOX	0.0	0.0	False
PCNO	0.0	0.0	False
PRPNCOAHYDm	0.0	0.0	False
3HPCOAHYD	-0.0	0.0	False
r0365	0.0	0.0	False
MMSAD3m	0.0	0.0	False
MSAD3m	0.0	0.0	False
MMTSAOm2	-0.0	0.0	False
MMSAD3	0.0	0.0	False
MSAD3	0.0	0.0	False
MMTSAO2	-0.0	0.0	False
GLUDy	0.0	0.0	False
GLUDxi	0.0	0.0	False
GLNS	-0.0	0.0	False
GLUSx	-0.0	0.0	False
GLUN	0.0	0.0	False
ALATA_Lm	0.0	0.0	False
ALATA_L	0.0	0.0	False
ALDD22x	0.0	0.0	False
ASP1DC	0.0	0.0	False
ACLSm	0.0	0.0	False
KARA1im	0.0	0.0	False
DHAD1m	0.0	0.0	False
IPPSm	0.0	0.0	False
IPPS	0.0	0.0	False
IPPMIb	0.0	0.0	False
IPPMIa	0.0	0.0	False
3IPM3MT	0.0	0.0	False
IPMD	0.0	0.0	False
OMCDC	0.0	0.0	False
LEUTAm	0.0	0.0	False
LEUTA	0.0	0.0	False
LEUTA2	0.0	0.0	False
OIVD1r	0.0	0.0	False
ACOAD8m	0.0	0.0	False
MCCC	0.0	0.0	False
MGCHrm	-0.0	0.0	False
HMGL	0.0	0.0	False
AACOAT	-0.0	0.0	False
OCOAT1m	-0.0	0.0	False
4MOPDC	0.0	0.0	False
RE2292C	0.0	0.0	False
ALCD24yi	0.0	0.0	False
