level	name	readable	oids	count
Species	Cyberlindnera jadinii	Cybja	cut	1
Species	Hypocrea jecorina	Hypje	tre	1
Species	Aspergillus niger	Aspni	ang	1
Species	Komagataella phaffii	Komph	ppa	1
Species	Pachysolen tannophilus	Pacta	pta	1
Species	Candida parapsilosis	Canpa	cpr	1
Species	Saccharomyces cerevisiae	Sacce	sce	1
Species	Schizosaccharomyces pombe	Schpo	spo	1
Species	Spathaspora passalidarum	Spapa	spa	1
Species	Rhodotorula graminis	Rhogr	rgm	1
Species	Ascoidea rubescens	Ascru	aru	1
Species	Kluyveromyces lactis	Klula	kla	1
Species	Zygosaccharomyces rouxii	Zygro	zro	1
Species	Babjeviella inositovora	Babin	bin	1
Species	Nadsonia fulvescens	Nadfu	nfu	1
Species	Vanderwaltozyma polyspora	Vanpo	vpo	1
Varietas	Metschnikowia bicuspidata var. bicuspidata	Metbi_v_bi	mbi	1
Varietas	Nadsonia fulvescens var. elongata	Nadfu_v_el	nfu	1
Strain	Pichia kudriavzevii SD108	Picku_SD108	pku	1
Strain	Saccharomyces cerevisiae S288c	Sacce_S288c	sce	1
Strain	Scheffersomyces stipitis CBS 6054	Picst_CBS_6054	pic	1
Strain	Lipomyces starkeyi NRRL Y-11557	Lipst_NRRL_Y11557	lst	1
Strain	Kluyveromyces lactis NRRL Y-1140	Klula_NRRL_Y1140	kla	1
Strain	Ogataea arabinofermentans NRRL YB-2248	Ogaar_NRRL_YB2248	car	1
Strain	Blastobotrys adeninivorans LR3	Blaad_LR3	arx	1
Strain	Aspergillus niger CBS 513.88	Aspni_CBS_513.88	ang	1
Strain	Neurospora crassa OR74A	Neucr_OR74A	ncr	1
Strain	Vanderwaltozyma polyspora ATCC 22028	Vanpo_ATCC_22028	vpo	1
Strain	Yarrowia lipolytica CLIB122	Yarli_CLIB122	yli	1
Strain	Nadsonia fulvescens var. elongata DSM 6958	Nadfu_DSM_6958	nfu	1
Strain	Ogataea parapolymorpha DL-1	Ogapa_DL_1	opm	1
Strain	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	Metbi_NRRL_YB4993	mbi	1
Strain	Meyerozyma guilliermondii ATCC 6260	Meygu_ATCC_6260	mgu	1
Strain	Schizosaccharomyces pombe 972h-	Schpo_972h	spo	1
Strain	Pichia membranifaciens NRRL Y-2026	Picme_NRRL_Y2026	pme	1
Strain	Cyberlindnera jadinii NRRL Y-1542	Cybja_NRRL_Y1542	cut	1
Strain	Hanseniaspora valbyensis NRRL Y-1626	Hanva_NRRL_Y1626	hva	1
Strain	Spathaspora passalidarum NRRL Y-27907	Spapa_NRRL_Y27907	spa	1
Strain	Komagataella phaffii GS115	Komph_GS115	ppa	1
Strain	Wickerhamomyces anomalus NRRL Y-366-8	Wican_NRRL_Y336_8	wan	1
Strain	Candida parapsilosis CDC 317	Canpa_CDC_317	cpr	1
Strain	Saitoella complicata NRRL Y-17804	Saico_NRRL_Y17804	sai	1
Strain	Hypocrea jecorina QM6a	Hypje_QM6a	tre	1
Strain	Kuraishia capsulata CBS 1993	Kurca_CBS_1993	kcp	1
Strain	Lachancea thermotolerans CBS 6340	Lacth_CBS_6340	lth	1
Strain	Emericella nidulans CBS 112.46	Emeni_CBS_112_46	ani	1
Strain	Ascoidea rubescens DSM 1968	Ascru_DSM_1968	aru	1
Strain	Babjeviella inositovora NRRL Y-12698	Babin_NRRL_Y12698	bin	1
Strain	Brettanomyces bruxellensis AWRI1499	Dekbr_AWRI1499	dbx	1
Strain	Debaryomyces hansenii CBS 767	Debha_CBS_767	dha	1
Strain	Zygosaccharomyces rouxii CBS 732	Zygro_CBS_732	zro	1
Strain	Pachysolen tannophilus NRRL Y-2460	Pacta_NRRL_Y2460	pta	1
Strain	Rhodotorula graminis WP1	Rhogr_WP1	rgm	1
Level 1	Saccharomycodaceae-Saccharomycetaceae superclade	SS_clade	hva|kla|lth|zro|sce|vpo	6
Level 2	PSS superclade	PSS_clade	wan|cut|hva|kla|lth|zro|sce|vpo	8
Level 2	Pichiaceae superclade	Pichia_clade	pta|ppa|kcp|car|opm|dbx|pme|pku	8
Level 2	CTG superclade	CTG	bin|cpr|mbi|mgu|dha|pic|spa	7
Level 3	ACPPSS superclade	ACPPSS_clade	aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	24
Level 4	Oleaginous yeast	YeastOleag	lst|yli	2
Level 4	Fermentering yeast	YeastFerm	arx|nfu|aru|pta|ppa|kcp|car|opm|dbx|pme|pku|bin|cpr|mbi|mgu|dha|pic|spa|wan|cut|hva|kla|lth|zro|sce|vpo	26
